provider_number,network,facility_name,five_star_date,five_star,five_star_data_availability_code,address_line_1,address_line_2,city,state,zip,county,phone_number,profit_or_nonprofit,chain_owned,chain_organization,late_shift,of_dialysis_stations,offers_incenter_hemodialysis,offers_peritoneal_dialysis,offers_home_hemodialysis_training,percentage_of_medicare_patients_with_hgb10_gdl,percentage_of_medicare_patients_with_hgb12_gdl,percentage_of_adult_patients_with_serum_phosphorus_less_tha_1,percentage_of_adult_patients_with_serum_phosphorus_between__2,percentage_of_adult_patients_with_serum_phosphorus_between__3,percentage_of_adult_patients_with_serum_phosphorus_between__4,percentage_of_adult_patients_with_serum_phosphorus_greater__5,mortality_rate_facility,hospitalization_rate_facility,standard_infection_ratio,percentage_of_adult_patients_with_long_term_catheter_in_use,standardized_first_kidney_transplant_waitlist_ratio
012519,8,"FMC SCOTTSBORO",01/01/2016-12/31/2019,5,1,"20998 JOHN T. REID HWY",,SCOTTSBORO,AL,35768,JACKSON,"(256) 259-4777",Profit,Yes,"FRESENIUS MEDICAL CARE",0,21,1,0,0,24,0,5,14,21,30,30,23,129.2,1.01,11,1.19
012520,8,"FRESENIUS KIDNEY CARE TROY",01/01/2016-12/31/2019,4,1,"606 BOTTS AVE",,TROY,AL,36081,PIKE,"(334) 434-5193",Profit,Yes,"FRESENIUS MEDICAL CARE",0,21,1,0,0,22,0,7,21,32,26,13,23.1,170.1,0.97,13,0.34
012521,8,"DCI DOTHAN",01/01/2016-12/31/2019,4,1,"1630 COLUMBIA HWY",,DOTHAN,AL,36303,HOUSTON,"(334) 793-3519",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,33,1,1,0,8,0,6,25,38,19,12,21.4,182.4,0.32,4,1.02
012522,8,"FMC HUNTSVILLE",01/01/2016-12/31/2019,4,1,"2325 PANSY STREET","SUITE C",HUNTSVILLE,AL,35801,MADISON,"(256) 536-1897",Profit,Yes,"FRESENIUS MEDICAL CARE",1,31,1,0,0,13,0,4,17,30,25,24,21.6,152.1,0.52,4,1.21
012523,8,"DAVITA PHENIX CITY DIALYSIS CENTER",01/01/2016-12/31/2019,5,1,"4391 RIVERCHASE DRIVE",,"PHENIX CITY",AL,36867,RUSSELL,"(334) 298-0294",Profit,Yes,DAVITA,0,20,1,1,0,30,0,6,16,26,24,29,30.7,183.7,0.7,7,0.39
012524,8,"FMC EAST MOBILE",01/01/2016-12/31/2019,3,1,"1217 GOVERNMENT ST",,MOBILE,AL,36604,MOBILE,"(251) 438-6917",Profit,Yes,"FRESENIUS MEDICAL CARE",1,29,1,1,1,32,0,9,24,27,24,17,28.8,238.5,0.2,6,1.27
012531,8,"FMC JACKSON (TOMBIGBEE)",01/01/2016-12/31/2019,4,1,"215 WALKER SPRINGS RD",,JACKSON,AL,36545,CLARKE,"(251) 246-6667",Profit,Yes,"FRESENIUS MEDICAL CARE",0,25,1,1,1,22,0,7,22,27,28,17,25.3,175.7,0.76,8,1.4
012532,8,"DCI EUFAULA",01/01/2016-12/31/2019,5,1,"123 A EAST BARBOUR STREET",,EUFAULA,AL,36027,BARBOUR,"(334) 687-7071",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,14,1,0,0,0,0,7,31,38,15,8,27.9,99.1,0.43,2,
012579,8,"FMC DAUPHIN ISLAND PKWY",01/01/2016-12/31/2019,4,1,"2381 DAUPHIN ISLAND PARKWAY",,MOBILE,AL,36605,MOBILE,"(251) 471-2505",Profit,Yes,"FRESENIUS MEDICAL CARE",0,20,1,0,0,36,0,12,25,25,25,13,18.9,252.4,0.26,3,0.44
012580,8,"FMC THOMASVILLE",01/01/2016-12/31/2019,3,1,"30230 HWY 43",,THOMASVILLE,AL,36784,CLARKE,"(334) 636-1411",Profit,Yes,"FRESENIUS MEDICAL CARE",0,20,1,1,1,14,3,9,18,26,32,15,21.2,147.9,0.39,5,0.92
012582,8,"FMC WILCOX",01/01/2016-12/31/2019,4,1,"229 CAMDEN BYPASS",,CAMDEN,AL,36726,WILCOX,"(334) 682-5030",Profit,Yes,"FRESENIUS MEDICAL CARE",0,10,1,0,0,24,0,7,19,27,26,21,16.2,184.7,0.76,8,0
012583,8,"DAVITA BESSEMER DIALYSIS",01/01/2016-12/31/2019,3,1,"901 WESTLAKE MALL","STE 101",BESSEMER,AL,35020,JEFFERSON,"(205) 424-1848",Profit,Yes,DAVITA,0,16,1,0,0,29,0,5,27,29,18,20,26.8,124.3,1.36,14,0.67
012585,8,"DAVITA ENSLEY DIALYSIS",01/01/2016-12/31/2019,4,1,"2630 AVENUE E",,BIRMINGHAM,AL,35218,JEFFERSON,"(205) 786-1371",Profit,Yes,DAVITA,0,24,1,0,0,20,0,6,18,30,21,24,24.3,173.6,1.05,10,0.21
012588,8,"DAVITA SYLACAUGA DIALYSIS",01/01/2016-12/31/2019,3,1,"331 JAMES PAYTON BLVD",,SYLACAUGA,AL,35150,TALLADEGA,"(256) 249-4994",Profit,Yes,DAVITA,0,18,1,1,1,19,0,5,19,28,27,21,31.9,187.9,1.18,9,
012594,8,"DAVITA BOAZ DIALYSIS",01/01/2016-12/31/2019,5,1,"16 CENTRAL HENDERSON ROAD",,BOAZ,AL,35957,MARSHALL,"(256) 840-5931",Profit,Yes,DAVITA,0,12,1,0,0,21,0,9,25,36,13,17,17.3,181.7,1.74,3,
012595,8,"RCG FORT PAYNE",01/01/2016-12/31/2019,5,1,"2202 JORDAN ROAD SW","SUITE 100","FORT PAYNE",AL,35968,,"(256) 845-9979",Profit,Yes,"FRESENIUS MEDICAL CARE",1,24,1,1,1,30,0,8,27,31,21,13,21.3,159.7,0,7,0
012596,8,"FKC MONTGOMERY",01/01/2016-12/31/2019,3,1,"3625 MCGEHEE PLACE DRIVE NORTH",,MONTGOMERY,AL,36111,MONTGOMERY,"(334) 286-3766",Profit,Yes,"FRESENIUS MEDICAL CARE",0,33,1,0,0,33,0,10,25,29,19,17,21.1,248.2,0.1,15,0.38
012566,8,"FMC SYLACAUGA",01/01/2016-12/31/2019,3,1,"314 WEST SPRING STREET",,SYLACAUGA,AL,35150,TALLADEGA,"(256) 249-9660",Profit,Yes,"FRESENIUS MEDICAL CARE",0,12,1,0,0,20,0,9,24,25,28,13,26.8,210.3,0.35,14,
012568,8,"FMC PARKWAY",01/01/2016-12/31/2019,3,1,"1311 N MEMORIAL PKWY STE 100",,HUNTSVILLE,AL,35801,MADISON,"(256) 536-5563",Profit,Yes,"FRESENIUS MEDICAL CARE",0,15,1,0,0,16,0,8,21,23,30,17,29.8,186.9,0.88,13,
012570,8,"DAVITA NORTHORT DIALYSIS",01/01/2016-12/31/2019,3,1,"2401 HOSPITAL DRIVE",,NORTHPORT,AL,35476,TUSCALOOSA,"(205) 339-8882",Profit,Yes,DAVITA,1,14,1,0,0,18,0,6,18,36,21,19,25.5,193.2,0.21,12,0.2
012571,8,"DCI GEORGIANA",01/01/2016-12/31/2019,4,1,"715 MEETING ST",,GEORGIANA,AL,36033,BUTLER,"(334) 376-0277",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,10,1,0,0,16,0,6,17,39,26,13,16.7,216.5,0,4,
012572,8,"FMC CAMELLIA",01/01/2016-12/31/2019,2,1,"350 PAUL STABLER DRIVE",,GREENVILLE,AL,36037,BUTLER,"(334) 383-0006",Profit,Yes,"FRESENIUS MEDICAL CARE",0,21,1,0,0,18,0,13,25,27,21,15,28.2,178,0,15,1.35
012573,8,"DCI BIRMINGHAM",01/01/2016-12/31/2019,5,1,"8713 PARKWAY EAST",,BIRMINGHAM,AL,35206,JEFFERSON,"(205) 838-5400",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,16,1,1,0,0,0,5,26,27,29,14,17.7,169.1,1.72,2,
012535,8,"DAVITA PDI-PRATTVILLE",01/01/2016-12/31/2019,4,1,"600 MCQUEEN SMITH ROAD SOUTH",,PRATTVILLE,AL,36066,AUTAUGA,"(334) 358-1576",Profit,Yes,DAVITA,0,16,1,0,0,21,0,9,23,33,21,14,21.2,208.2,0,11,0
012536,8,"FMC MONTCLAIR",01/01/2016-12/31/2019,4,1,"7780 LUDINGTON LANE",,BIRMINGHAM,AL,35210,JEFFERSON,"(205) 957-1010",Profit,Yes,"FRESENIUS MEDICAL CARE",0,24,1,0,0,30,0,10,22,30,25,13,17.2,225.7,0,3,
012537,8,"FMC PRICHARD",01/01/2016-12/31/2019,4,1,"4016 HWY 45",,WHISTLER,AL,36613,MOBILE,"(251) 330-1623",Profit,Yes,"FRESENIUS MEDICAL CARE",0,25,1,0,0,29,0,6,25,32,25,11,26.3,224.4,0.72,4,0.44
012538,8,"RCG ANDALUSIA",01/01/2016-12/31/2019,4,1,"1208 WEST BYPASS",,ANDALUSIA,AL,36420,COVINGTON,"(334) 427-0147",Profit,Yes,"FRESENIUS MEDICAL CARE",0,21,1,1,1,20,0,9,26,23,27,14,21.3,225.5,0.98,11,0
012540,8,"FMC MONROEVILLE (WHETSTONE)",01/01/2016-12/31/2019,4,1,"676 S ALABAMA AVE",,MONROEVILLE,AL,36460,MONROE,"(251) 575-3452",Profit,Yes,"FRESENIUS MEDICAL CARE",0,20,1,1,1,28,3,8,18,28,30,16,25.1,158.8,0.23,7,0
012541,8,"FMC DADEVILLE",01/01/2016-12/31/2019,5,1,"52 WATERWORKS RD",,DADEVILLE,AL,36853,TALLAPOOSA,"(256) 825-2740",Profit,Yes,"FRESENIUS MEDICAL CARE",0,15,1,0,0,12,0,6,25,30,28,11,15.6,88.2,0,3,
012542,8,"DAVITA RAINBOW CITY DIALYSIS",01/01/2016-12/31/2019,5,1,"2800 RAINBOW DRIVE",,"RAINBOW CITY",AL,35906,ETOWAH,"(256) 413-3245",Profit,Yes,DAVITA,0,16,1,1,1,23,0,3,20,37,20,19,28.1,202,2.38,2,0.71
012543,8,"DAVITA DEMOPOLIS DIALYSIS",01/01/2016-12/31/2019,4,1,"511 S CEDAR AVE",,DEMOPOLIS,AL,36732,MARENGO,"(334) 289-9700",Profit,Yes,DAVITA,0,15,1,1,0,2,0,5,13,35,26,21,32.7,161.7,0,9,0.41
012589,8,"DAVITA BIRMINGHAM NORTH DIALYSIS",01/01/2016-12/31/2019,3,1,"1917 32ND AVENUE NORTH",,BIRMINGHAM,AL,35207,JEFFERSON,"(205) 297-9052",Profit,Yes,DAVITA,0,24,1,0,0,20,0,11,23,32,17,16,22.6,157,0.51,11,0
012590,8,"DCI MOULTON",01/01/2016-12/31/2019,4,1,"1962 MAIN STREET",,MOULTON,AL,35650,LAWRENCE,"(256) 974-1400",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,12,1,0,0,5,0,11,22,34,18,16,28.5,115.9,0.74,12,
012591,8,"NNA OF ALABAMA, INC",01/01/2016-12/31/2019,3,1,"1010 FIRST STREET NORTH","SUITE 100",ALABASTER,AL,35007,SHELBY,"(205) 728-6286",Profit,Yes,"FRESENIUS MEDICAL CARE",1,24,1,0,0,21,0,9,23,22,28,18,20.4,192.2,0.84,13,
012592,8,"DAVITA BIRMINGHAM CENTRAL DIALYSIS",01/01/2016-12/31/2019,3,1,"728 RICHARD ARRINGTON BLVD S",,BIRMINGHAM,AL,35233,JEFFERSON,"(205) 250-6760",Profit,Yes,DAVITA,1,32,1,0,0,11,0,8,17,28,20,26,26.8,173.2,0.88,12,0.84
012593,8,"FMC ODYSSEY DIALYSIS",01/01/2016-12/31/2019,5,1,"40 HUGHES ROAD",,MADISON,AL,35758,MADISON,"(256) 772-4435",Profit,Yes,"FRESENIUS MEDICAL CARE",0,15,1,0,0,19,0,6,25,32,23,14,20.5,145.9,0,6,0.34
012508,8,"DAVITA BIRMINGHAM EAST DIALYSIS",01/01/2016-12/31/2019,3,1,"1105 EAST PARK DRIVE",,BIRMINGHAM,AL,35235,JEFFERSON,"(205) 833-6003",Profit,Yes,DAVITA,0,20,1,0,0,21,0,9,20,27,21,24,32.3,228.9,0.5,15,0.53
012509,8,"FMC NORTH ALABAMA",01/01/2016-12/31/2019,3,1,"1311 N MEMORIAL PKWY #200",,HUNTSVILLE,AL,35801,MADISON,"(256) 536-8571",Profit,Yes,"FRESENIUS MEDICAL CARE",0,22,1,1,0,28,0,7,26,24,26,17,29.2,186.9,0.62,6,0.67
012512,8,"FMC SELMA",01/01/2016-12/31/2019,4,1,"905 MEDICAL CENTER PARKWAY",,SELMA,AL,36701,DALLAS,"(334) 874-9021",Profit,Yes,"FRESENIUS MEDICAL CARE",0,26,1,0,0,23,0,9,21,25,26,18,21.5,163,0.41,11,0.49
012513,8,"FMC LANGDALE",01/01/2016-12/31/2019,5,1,"8 MEDICAL PARK",,VALLEY,AL,36854,CHAMBERS,"(334) 756-4192",Profit,Yes,"FRESENIUS MEDICAL CARE",0,19,1,0,0,14,3,8,28,25,25,13,18.1,144.1,0.37,1,0.38
012515,8,"FMC OPELIKA",01/01/2016-12/31/2019,5,1,"2609 VILLAGE PROFESSIONAL DR","STE 2",OPELIKA,AL,36801,LEE,"(334) 749-5085",Profit,Yes,"FRESENIUS MEDICAL CARE",1,31,1,1,1,15,0,9,23,26,26,16,19.7,113.4,1.25,5,1.48
012558,8,"DCI DECATUR",01/01/2016-12/31/2019,3,1,"1601 6TH AVENUE SOUTH EAST",,DECATUR,AL,35601,MORGAN,"(256) 350-8882",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,24,1,0,0,5,0,7,20,32,14,27,26.8,166,1.12,14,1.41
012559,8,"FMC UNIVERSITY SOUTH ALABAMA",01/01/2016-12/31/2019,3,1,"700 CLINIC DRIVE",,MOBILE,AL,36688,MOBILE,"(251) 460-6797",Profit,Yes,"FRESENIUS MEDICAL CARE",0,22,1,1,1,33,0,7,16,22,28,28,22.7,230.8,1.51,6,0.31
012561,8,"FKC ARAB",01/01/2016-12/31/2019,5,1,"310 SOUTH BRINDLEE MOUNTAIN PARKWAY",,ARAB,AL,35016,MARSHALL,"(256) 640-8283",Profit,Yes,"FRESENIUS MEDICAL CARE",1,24,1,0,0,5,0,7,24,26,24,20,23.6,136.4,0,2,
012562,8,"DCI PELL CITY",01/01/2016-12/31/2019,4,1,"62 COGSWELL DRIVE",,"PELL CITY",AL,35125,"SAINT CLAIR","(205) 884-4240",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,15,1,0,0,20,0,5,19,27,31,19,29.4,93.4,0.67,2,
012563,8,"DCI CULLMAN",01/01/2016-12/31/2019,4,1,"1734 EVA ROAD NE",,CULLMAN,AL,35055,CULLMAN,"(256) 734-3055",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,16,1,0,0,11,0,3,23,39,16,19,24.9,225.6,1.09,8,
012565,8,"DAVITA SOUTH BALDWIN DIALYSIS CENTER",01/01/2016-12/31/2019,3,1,"150 W PEACHTREE AVE",,FOLEY,AL,36535,BALDWIN,"(251) 943-4155",Profit,Yes,DAVITA,0,13,1,0,1,15,0,6,21,35,22,15,30.2,296.7,0.55,16,
012574,8,"FMC CHAMBERS",01/01/2016-12/31/2019,5,1,"802 HOSPITAL STREET",,LAFAYETTE,AL,36862,CHAMBERS,"(334) 864-9914",Profit,Yes,"FRESENIUS MEDICAL CARE",0,10,1,0,0,15,0,7,23,29,33,9,11.5,104.8,0,6,
012575,8,"RCG WALKER",01/01/2016-12/31/2019,3,1,"3510 3RD STREET NE",,JASPER,AL,35504,WALKER,"(205) 221-8775",Profit,Yes,"FRESENIUS MEDICAL CARE",0,22,1,0,0,21,0,5,15,25,30,26,32.2,197,0.52,15,0
012576,8,"DCI MONTGOMERY",01/01/2016-12/31/2019,3,1,"544 SOUTH MCDONOUGH STREET",,MONTGOMERY,AL,36104,MONTGOMERY,"(334) 265-9190",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,24,1,1,0,18,0,6,19,32,24,18,22.2,150.7,0.27,15,
012578,8,"RCG SOUTHSIDE",01/01/2016-12/31/2019,3,1,"2131 MAGNOLIA AVE SOUTH #100",,BIRMINGHAM,AL,35205,JEFFERSON,"(205) 322-4382",Profit,Yes,"FRESENIUS MEDICAL CARE",0,16,1,0,0,32,0,6,19,23,27,25,28.7,192.3,1.61,7,
012633,8,"FMC PRATTVILLE",01/01/2016-12/31/2019,3,1,"692 COVERED BRIDGE PARKWAY",,PRATTVILLE,AL,36066,AUTAUGA,"(334) 358-7414",Profit,Yes,"FRESENIUS MEDICAL CARE",0,18,1,1,1,26,0,10,29,27,21,13,28.2,202.5,0.18,11,0.28
012634,8,"FMC FOLEY",01/01/2016-12/31/2019,5,1,"230 EAST FERN AVENUE",,FOLEY,AL,36535,BALDWIN,"(251) 943-1500",Profit,Yes,"FRESENIUS MEDICAL CARE",0,16,1,0,0,14,0,6,24,30,24,16,19.9,205.6,1.16,8,
012636,8,"FMC JAGUAR",01/01/2016-12/31/2019,3,1,"575 STANTON ROAD","UNIT B",MOBILE,AL,36617,MOBILE,"(251) 476-0502",Profit,Yes,"FRESENIUS MEDICAL CARE",1,26,1,0,0,23,0,12,24,28,27,10,20.4,218.2,1.42,9,0
012637,8,"DCI HIGHLAND PARK",01/01/2016-12/31/2019,2,1,"1912 CHERRY STREET",,MONTGOMERY,AL,36107,MONTGOMERY,"(334) 264-1060",Non-Profit,Yes,"DIALYSIS CLINIC, INC.",0,15,1,0,0,17,0,5,17,32,24,23,18.9,185.6,0,15,0.35
012638,8,"FMC HOOVER",01/01/2016-12/31/2019,5,1,"2104 LORNA RIDGE LANE",,HOOVER,AL,35216,JEFFERSON,"(205) 979-3708",Profit,Yes,"FRESENIUS MEDICAL CARE",0,12,1,0,0,23,0,7,24,29,21,18,21.6,190.1,0,6,
012639,8,"FMC MONTEVALLO",01/01/2016-12/31/2019,4,1,"3883 HIGHWAY 25",,MONTEVALLO,AL,35115,SHELBY,"(205) 665-4440",Profit,Yes,"FRESENIUS MEDICAL CARE",0,10,1,0,0,18,0,12,26,30,21,11,24.6,150,0.31,15,
012640,8,"DAVITA PICKENS COUNTY DIALYSIS",01/01/2016-12/31/2019,3,1,"289 WILLIAM E HILL DRIVE","SUITE A",CARROLLTON,AL,35447,PICKENS,"(205) 367-1194",Profit,Yes,DAVITA,0,14,1,0,0,7,0,7,23,34,22,14,26.1,150.3,0.4,14,0
012597,8,"FMC BAY MINETTE",01/01/2016-12/31/2019,4,1,"2505 HAND AVENUE",,"BAY MINETTE",AL,36507,BALDWIN,"(251) 580-4448",Profit,Yes,"FRESENIUS MEDICAL CARE",0,18,1,1,0,26,0,10,26,34,21,9,23.3,226.2,0,5,
012598,8,"DCI PHENIX CITY",01/01/2016-12/31/2019,5,1,"1611 21ST COURT",,"PHENIX CITY",AL,36867,RUSSELL,"(334) 448-4840",Profit,Yes,"DIALYSIS CLINIC, INC.",0,12,1,0,0,6,0,9,27,27,26,11,19,168.1,1.54,3,
012599,8,"FMC PORT CITY",01/01/2016-12/31/2019,3,1,"201 ST. JOSEPH STREET, SUITE B",,MOBILE,AL,36602,MOBILE,"(251) 652-1025",Profit,Yes,"FRESENIUS MEDICAL CARE",0,20,1,0,0,29,0,10,21,26,22,22,33.1,282.4,0.19,8,0.64
012600,8,"DAVITA ATMORE DIALYSIS CENTER",01/01/2016-12/31/2019,4,1,"807 EAST CRAIG STREET",,ATMORE,AL,36502,ESCAMBIA,"(251) 368-5593",Profit,Yes,DAVITA,0,10,1,0,0,8,0,6,24,32,18,20,32.7,180.4,0.81,9,
012601,8,"FMC WEST",01/01/2016-12/31/2019,3,1,"633 LOMB AVENUE",,BIRMINGHAM,AL,35211,JEFFERSON,"(205) 781-2366",Profit,Yes,"FRESENIUS MEDICAL CARE",0,24,1,0,0,23,0,9,25,25,28,13,26.5,242.9,0.19,8,0
012602,8,"DAVITA RUSSELLVILLE DIALYSIS",01/01/2016-12/31/2019,5,1,"14897 HWY 43",,RUSSELLVILLE,AL,35653,FRANKLIN,"(256) 332-7044",Profit,Yes,DAVITA,0,10,1,0,0,8,0,5,28,36,18,14,34.5,186.8,1.51,8,
012603,8,"FMC FAIRFIELD (STEEL CITY)",01/01/2016-12/31/2019,2,1,"6508 E. J. OLIVER BLVD",,FAIRFIELD,AL,35064,JEFFERSON,"(205) 780-5122",Profit,Yes,"RENAL CARE GROUP INC.",0,12,1,0,0,25,0,11,25,28,26,10,32.7,241.4,0.67,7,
012604,8,"RCG CLANTON",01/01/2016-12/31/2019,3,1,"275 HEALTH CENTER DRIVE",,CLANTON,AL,35045,CHILTON,"(205) 280-4331",Profit,Yes,"FRESENIUS MEDICAL CARE",0,12,1,0,0,31,0,8,22,26,26,18,29.2,282.6,0.55,7,
012544,8,"DAVITA OZARK DIALYSIS",01/01/2016-12/31/2019,5,1,"195 BUNTING DRIVE",,OZARK,AL,36360,DALE,"(334) 774-1410",Profit,Yes,DAVITA,0,19,1,0,0,21,0,10,23,33,21,13,25.9,157.6,0,3,
012545,8,"DAVITA TUSCALOOSA DIALYSIS",01/01/2016-12/31/2019,3,1,"805 OLD MILL STREET",,TUSCALOOSA,AL,35401,TUSCALOOSA,"(205) 752-6363",Profit,Yes,DAVITA,0,19,1,1,1,19,0,7,16,27,23,27,27.2,205.7,0.74,8,0.33
012546,8,"FMC TUSKEGEE",01/01/2016-12/31/2019,5,1,"802 E. MARTIN LUTHER KING HWY",,TUSKEGEE,AL,36083,MACON,"(334) 727-9447",Profit,Yes,"FRESENIUS MEDICAL CARE",0,28,1,0,0,40,0,8,23,31,24,13,28.4,115,0.7,2,
012547,8,"FMC EASTERN SHORE",01/01/2016-12/31/2019,5,1,"124 PROFESSIONAL PARK DR",,FAIRHOPE,AL,36532,BALDWIN,"(251) 928-7835",Profit,Yes,"FRESENIUS MEDICAL CARE",0,24,1,1,1,35,0,8,27,40,15,10,19.7,225.4,0.25,3,0.64
