facility_name,cms_certification_number_ccn,alternate_ccn,address,city,state,zip_code,network,longterm_catheter_achievement_measure_rate,standardized_fistula_achievement_measure_rate,vascular_access_combined_measure_score,ktv_comprehensive_achievement_measure_rate,hypercalcemia_achievement_measure_rate,nhsn_bsi_achievement_measure_ratio,nhsn_dialysis_event_reporting_measure_score,ich_cahps_neph_comm_and_caring_achievement_rate,ich_cahps_quality_of_dialysis_care_and_ops_achievement_rate,ich_cahps_providing_info_to_patients_achievement_rate,ich_cahps_overall_rating_of_neph_achievement_rate,ich_cahps_overall_rating_of_dialysis_staff_achievement_rate,ich_cahps_overall_rating_of_dialysis_facility_achievement_rate,standardized_readmission_ratio_srr_measure_score,srr_achievement_measure_ratio,strr_achievement_measure_ratio,standardized_hospitalization_ratio_shr_measure_score,shr_achievement_measure_ratio,clinical_depression_screening_and_followup_measure_score,ultrafiltration_measure_score,total_performance_score,py2021_payment_reduction_percentage
"032530 DESERT VALLEY DIALYSIS (FMC)",032530,-,"3815 E. BELL ROAD STE. 1100",PHOENIX,AZ,85032,15,9.37%,72.70%,8,96.85%,0.00%,0.485,10,64.87%,55.09%,76.96%,60.27%,48.52%,51.66%,3,1.093,1.621,0,1.406,10,5,44,1.00%
"032533 GLOBE DIALYSIS (FMC)",032533,-,"2250 HIGHWAY 60 STE O-2",MIAMI,AZ,85539,15,8.19%,80.14%,9,95.92%,0.12%,0.369,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.687,0.213,9,0.703,10,5,82,0.00%
"032535 HOME DIALYSIS OF MESA (FMC)",032535,-,"1337 S GILBERT RD STE 106",MESA,AZ,85204,15,9.17%,83.62%,9,96.13%,0.50%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.734,0,6,0.902,10,"No Score",78,0.00%
"032536 WINSLOW DIALYSIS CENTER (FMC)",032536,-,"721 MIKE'S PIKE STREET",WINSLOW,AZ,86047,15,13.15%,71.59%,6,96.59%,0.52%,0.379,10,49.31%,57.73%,74.93%,36.55%,48.33%,61.00%,6,0.888,1.073,8,0.777,10,0,54,0.50%
"032537 ESTRELLA DIALYSIS CENTER (FMC)",032537,-,"5546 W ROOSEVELT ST STE 1",PHOENIX,AZ,85043,15,9.48%,68.31%,7,99.22%,0.08%,0,10,51.78%,44.68%,65.40%,46.24%,35.95%,41.20%,8,0.735,0.629,2,1.136,10,4,61,0.00%
"032539 MESA DIALYSIS CENTER (FMC)",032539,-,"1525 N GILBERT RD STE 121",GILBERT,AZ,85234,15,9.44%,70.95%,8,98.53%,0.38%,0.195,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.004,0.171,0,1.277,10,1,62,0.00%
"032540 FRESENIUS KIDNEY CARE WESTERN SKIES",032540,-,"1041 N ARIZOLA RD","CASA GRANDE",AZ,85122,15,22.36%,59.84%,3,97.89%,3.61%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.345,0,0,1.294,10,5,54,0.50%
"032541 TEMPE DIALYSIS (FMC)",032541,-,"1449 W SOUTHERN AVE",TEMPE,AZ,85282,15,7.21%,74.10%,9,94.75%,0.34%,1.275,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.037,0.461,4,1.051,10,0,54,0.50%
"032542 ARCADIA DIALYSIS CENTER (FMC)",032542,-,"4021 N. 30TH STREET",PHOENIX,AZ,85016,15,11.34%,68.28%,7,95.66%,0.35%,1.133,10,59.11%,47.91%,84.44%,51.92%,52.27%,50.58%,6,0.891,1.146,1,1.281,10,0,42,1.00%
"032544 LAKE HAVASU DIALYSIS (FMC)",032544,-,"2145 MESQUITE AVE","LAKE HAVASU CITY",AZ,86403,15,2.01%,75.04%,10,98.76%,1.31%,0.487,10,64.53%,61.56%,87.32%,56.72%,62.75%,71.44%,2,1.156,1.303,7,0.86,10,7,63,0.00%
"032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC)",032545,-,"26 E BASELINE STE 142",PHOENIX,AZ,85042,15,7.14%,73.27%,9,96.30%,0.86%,0.238,10,47.69%,41.89%,69.90%,45.63%,35.06%,48.37%,5,0.964,1.298,4,1.032,10,0,48,0.50%
"032546 SUN CITY WEST DIALYSIS (FMC)",032546,-,"12213 W BELL ROAD STE 110",SURPRISE,AZ,85374,15,11.35%,68.91%,7,97.44%,0.00%,0.335,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,0.997,0.484,1,1.199,10,5,60,0.00%
"032547 SUN CITY DIALYSIS (FMC)",032547,-,"10050 W BELL RD STE 29-31","SUN CITY",AZ,85351,15,14.01%,73.37%,7,94.95%,0.00%,0.533,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.022,0.246,2,1.14,10,6,59,0.00%
"032549 SAFFORD DIALYSIS (FMC)",032549,-,"1250 S 20TH AVE",SAFFORD,AZ,85546,15,10.69%,76.65%,8,93.91%,0.12%,0,10,62.50%,52.47%,74.35%,50.60%,48.99%,51.42%,10,0.574,1.008,5,0.972,10,1,59,0.00%
"032550 NORTH PHOENIX DIALYSIS (FMC)",032550,-,"1957 W DUNLAP AVE STE 6C",PHOENIX,AZ,85021,15,9.46%,76.75%,9,96.05%,0.52%,0.507,10,69.16%,55.82%,78.56%,70.25%,51.77%,53.91%,5,0.972,0.519,4,0.992,10,2,57,0.00%
"032551 MESA DIALYSIS (DSI)",032551,-,"1337 S GILBERT RD STE 109",MESA,AZ,85204,15,23.18%,64.76%,3,97.44%,0.00%,0.792,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.485,0.289,0,1.502,10,7,48,0.50%
"032552 ARROWHEAD DIALYSIS (FMC)",032552,-,"16844 N 59TH AVE",GLENDALE,AZ,85306,15,12.74%,77.42%,8,98.63%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.7,"No Rate",7,0.847,10,8,85,0.00%
"032558 BULLHEAD CITY DIALYSIS (FMC)",032558,-,"2650 MIRACLE MILE","BULLHEAD CITY",AZ,86442,15,8.19%,75.52%,9,95.71%,0.55%,0.581,10,42.47%,48.44%,74.60%,30.34%,50.85%,49.56%,4,1.041,2.518,3,1.102,10,0,40,1.00%
"032561 CASA GRANDE DIALYSIS (FMC)",032561,-,"1875 E SABIN DR","CASA GRANDE",AZ,85122,15,11.63%,75.83%,8,98.34%,0.17%,1.022,10,62.60%,54.04%,80.54%,42.07%,43.31%,54.65%,2,1.159,0.396,3,1.114,10,3,49,0.50%
"032563 SCOTTSDALE DIALYSIS (FMC)",032563,-,"1495 N HAYDEN STE D1-D4",SCOTTSDALE,AZ,85257,15,3.18%,78.93%,10,98.47%,0.69%,0.923,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.029,1.165,4,1.169,10,6,62,0.00%
"032564 MARYVALE DIALYSIS (FMC)",032564,-,"4502 W INDIAN SCHOOL RD STE A4-11",PHOENIX,AZ,85031,15,10.26%,68.95%,7,97.10%,0.36%,0.518,10,67.88%,64.65%,75.93%,62.42%,72.26%,72.21%,5,0.956,0.554,4,1.035,10,0,58,0.00%
"032565 DESERT DIALYSIS CENTER SOUTH TUCSON (DCI)",032565,-,"1011 E PENNSYLVANIA ST",TUCSON,AZ,85719,15,9.75%,75.61%,9,92.76%,0.75%,0,10,71.19%,72.72%,82.82%,66.90%,74.99%,69.55%,8,0.712,0,9,0.686,10,4,77,0.00%
"032568 RED MOUNTAIN DIALYSIS (FMC)",032568,-,"1211 N COUNTRY CLUB DR STE 4",MESA,AZ,85201,15,16.23%,70.58%,5,95.87%,0.25%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",6,0.9,1.063,0,1.599,10,7,57,0.00%
"032571 NORTH SCOTTSDALE DIALYSIS (FMC)",032571,-,"16101 N 82ND ST STE 6-7",SCOTTSDALE,AZ,85260,15,18.48%,67.72%,4,94.27%,1.23%,0.112,10,63.73%,42.05%,66.74%,62.74%,33.56%,45.99%,6,0.89,0.477,3,1.063,10,0,48,0.50%
"032575 SHOW LOW DIALYSIS (FMC)",032575,-,"1500 S WHITE MOUNTAIN BLVD STE 204","SHOW LOW",AZ,85901,15,4.18%,75.73%,10,97.69%,0.08%,2.076,10,44.07%,55.56%,73.98%,48.92%,70.20%,72.85%,10,0.368,0.096,8,0.794,10,2,71,0.00%
"032577 YAVAPAI DIALYSIS (FMC)",032577,-,"3605 RANCH DR",PRESCOTT,AZ,86303,15,10.76%,72.97%,8,93.00%,0.94%,1.274,10,55.62%,54.63%,80.21%,46.26%,50.26%,52.95%,3,1.064,1.217,2,1.149,10,0,34,1.50%
"032578 APACHE JUNCTION DIALYSIS (FMC)",032578,-,"11540 E UNIVERSITY DR STE 109","APACHE JUNCTION",AZ,85220,15,10.03%,69.11%,7,99.72%,0.27%,0.756,10,46.40%,49.03%,73.53%,28.85%,48.87%,52.12%,9,0.673,0.158,6,0.892,10,8,68,0.00%
"032579 SUN LAKES DIALYSIS (FMC)",032579,-,"9666 E RIGGS RD STE 143","SUN LAKES",AZ,85248,15,5.88%,85.61%,10,97.69%,0.25%,1.574,10,54.96%,69.89%,77.98%,47.71%,82.69%,75.98%,6,0.882,0.515,3,1.088,10,0,57,0.00%
"032580 PALM VALLEY DIALYSIS (FMC)",032580,-,"13657 W MCDOWELL RD STE 106",GOODYEAR,AZ,85338,15,11.41%,67.09%,6,98.46%,0.00%,0.212,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.532,0.177,0,1.374,10,5,57,0.00%
"032581 AK-CHIN DIALYSIS (FMC)",032581,-,"16536 N MARICOPA RD",MARICOPA,AZ,85139,15,6.72%,77.79%,10,97.97%,0.25%,0.238,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.181,0.451,4,1.02,10,4,67,0.00%
"032583 SOUTH PHOENIX DIALYSIS (DSI)",032583,-,"4621 S CENTRAL AVE",PHOENIX,AZ,85040,15,15.70%,70.52%,6,93.18%,0.00%,0.219,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",8,0.73,0.438,5,0.983,10,0,63,0.00%
"032587 DEER VALLEY DIALYSIS (FMC)",032587,-,"21241 N 23RD AVE STE 11",PHOENIX,AZ,85027,15,13.18%,73.73%,7,98.85%,1.00%,0.467,10,44.55%,63.00%,80.16%,39.34%,52.52%,59.30%,6,0.902,1.644,2,1.129,10,7,52,0.50%
"032593 GRANITE VALLEY DIALYSIS (FMC)",032593,-,"14510 W SHUMWAY DR STE 100","SUN CITY WEST",AZ,85375,15,16.33%,71.46%,5,97.69%,0.56%,1.261,10,82.39%,71.12%,88.38%,76.69%,81.72%,93.64%,4,0.987,0.284,4,1,10,8,64,0.00%
"032594 SALT RIVER DIALYSIS CENTER (FMC)",032594,-,"10301 E OSBORN RD BLDG 14",SCOTTSDALE,AZ,85256,15,6.94%,71.90%,9,98.49%,0.73%,0.457,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.219,0.889,0,1.263,10,3,54,0.50%
"032596 NORTHEAST PHOENIX DIALYSIS (DSI)",032596,-,"3305 E GREENWAY RD STE 1",PHOENIX,AZ,85032,15,13.64%,63.56%,5,95.80%,0.67%,0.265,10,65.09%,63.88%,83.41%,56.75%,61.94%,67.94%,6,0.901,0.433,0,1.367,10,1,52,0.50%
"032597 SAN CARLOS DIALYSIS (FMC)",032597,-,"US 70 & AZ ROUTE 170",PERIDOT,AZ,85542,15,12.10%,75.82%,8,95.34%,0.87%,1.568,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.614,0.225,5,0.977,10,0,62,0.00%
"032598 MAMMOTH DIALYSIS (FMC)",032598,-,"14786 S HIGHWAY 77 - POB 729",MAMMOTH,AZ,85618,15,12.88%,69.69%,6,90.29%,0.00%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.668,"No Rate",3,1.12,10,5,64,0.00%
"032599 AHWATUKEE DIALYSIS (FMC)",032599,-,"15930 48TH STREET",PHOENIX,AZ,85048,15,13.97%,68.63%,6,99.56%,0.58%,0.17,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.074,0.858,2,1.155,10,5,60,0.00%
"032607 AVONDALE DIALYSIS (FMC)",032607,-,"10750 W MCDOWELL RD STE E500",AVONDALE,AZ,85323,15,6.41%,73.83%,9,99.65%,0.00%,0.707,10,72.66%,65.35%,80.52%,74.24%,77.63%,81.48%,2,1.141,0.853,4,1.038,10,8,67,0.00%
"032608 AVONDALE DIALYSIS (DSI)",032608,-,"13055 W MCDOWELL RD STE F101",AVONDALE,AZ,85392,15,15.84%,59.61%,4,94.55%,0.32%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.262,0.903,2,1.147,8,0,45,1.00%
"032610 SOUTHEAST VALLEY DIALYSIS (FMC)",032610,-,"22715 S ELLSWORTH RD STE D","QUEEN CREEK",AZ,85142,15,12.73%,64.58%,5,97.99%,0.00%,0.532,10,59.27%,66.29%,78.84%,49.65%,68.33%,80.44%,5,0.973,0.476,5,0.974,10,4,62,0.00%
"032613 NORTHWEST TUCSON DIALYSIS (FMC)",032613,-,"6261 N LA CHOLLA BLVD STE 181",TUCSON,AZ,85741,15,9.08%,62.05%,6,98.37%,0.47%,1.023,10,63.74%,62.29%,83.74%,52.52%,59.62%,71.13%,6,0.913,1.542,0,1.285,10,4,48,0.50%
"032614 DOUGLAS DIALYSIS CENTER (DCI)",032614,-,"99 E 16TH ST",DOUGLAS,AZ,85607,15,10.07%,83.19%,8,92.84%,0.50%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",3,1.065,0.917,1,1.23,10,1,52,0.50%
"032616 DESERT DIALYSIS SAHUARITA (DCI)",032616,-,"1700 W COMMERCE POINTE PL",SAHUARITA,AZ,85629,15,10.11%,75.87%,8,96.41%,2.43%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",1,1.245,1.665,2,1.123,10,4,49,0.50%
"032617 TUCSON WEST DIALYSIS CENTER (FMC)",032617,-,"100 W GRANT RD",TUCSON,AZ,85705,15,6.67%,70.43%,9,97.68%,0.25%,0.225,10,64.24%,59.38%,79.49%,67.96%,63.87%,71.51%,0,1.304,1.135,4,1.046,10,6,55,0.50%
"032622 GOODYEAR DIALYSIS (FMC)",032622,-,"500 N BULLARD AVE STE C34",GOODYEAR,AZ,85338,15,9.12%,70.96%,8,97.68%,0.83%,0,10,59.67%,53.70%,75.43%,57.40%,62.29%,61.30%,4,1.023,0.485,4,1.039,10,1,59,0.00%
"032626 MIDVALE PARK DIALYSIS (FMC)",032626,-,"1430 W VALENCIA RD STE 1",TUCSON,AZ,85746,15,8.92%,65.06%,7,95.69%,0.44%,0.405,10,67.34%,56.17%,70.91%,59.61%,55.80%,64.48%,9,0.7,0.95,5,0.974,10,2,59,0.00%
"032628 KINGMAN DIALYSIS CLINIC (FMC)",032628,-,"1721 AIRWAY AVE",KINGMAN,AZ,86409,15,16.40%,66.80%,4,92.36%,1.69%,0.322,10,69.97%,50.98%,81.72%,64.95%,47.85%,55.16%,6,0.881,1.115,5,0.946,10,0,44,1.00%
"032629 SOUTH TUCSON DIALYSIS (FMC)",032629,-,"2802 SOUTH 6TH AVE",TUCSON,AZ,85713,15,4.85%,70.67%,9,97.02%,0.57%,0.227,10,67.49%,63.16%,77.35%,58.40%,67.67%,82.56%,6,0.872,1.058,1,1.224,10,7,59,0.00%
"032633 SANTAN DIALYSIS (FMC)",032633,-,"300 W HIGHWAY 287",FLORENCE,AZ,85132,15,11.17%,68.51%,7,94.57%,0.60%,0.504,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.826,1.005,7,0.854,10,1,62,0.00%
"032635 GILBERT DIALYSIS (FMC)",032635,-,"3511 MERCY RD STE 101",GILBERT,AZ,85297,15,4.84%,78.89%,10,98.06%,0.08%,0,10,72.20%,72.03%,80.82%,58.80%,69.03%,74.34%,7,0.825,1.069,7,0.8,10,7,77,0.00%
"032636 US Renal Care Flagstaff Dialysis",032636,-,"2268 N WALGREENS ST",FLAGSTAFF,AZ,86004,15,19.30%,68.29%,4,94.54%,0.70%,0.532,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.273,1.882,4,1.053,10,7,41,1.00%
"032639 ESTRELLA MOUNTAIN DIALYSIS, LLC (ARA)",032639,-,"9250 WEST THOMAS ROAD - SUITE 120",PHOENIX,AZ,85037,15,6.45%,77.93%,10,99.67%,1.17%,0.768,10,80.57%,67.12%,86.50%,78.13%,73.93%,78.01%,7,0.793,0.533,5,0.986,10,7,76,0.00%
"032643 EAST TUCSON (FMC)",032643,-,"5555 E 5TH ST #155",TUCSON,AZ,85711,15,7.50%,70.50%,8,96.12%,0.25%,0.901,10,75.21%,69.46%,88.56%,63.08%,69.00%,82.76%,0,1.276,0.802,0,1.683,10,3,48,0.50%
"032646-FMC-GLENDALE TOWN CENTER",032646,-,"4407 WEST PEORIA AVE",GLENDALE,AZ,85302,15,19.49%,58.21%,2,96.27%,0.32%,0.246,10,52.33%,55.07%,80.08%,38.91%,55.94%,56.17%,7,0.83,0.387,0,1.363,10,2,47,0.50%
"032647-FMC NORTH MOUNTAIN",032647,-,"16605 NORTH 28TH AVENUE - SUITE 100",PHOENIX,AZ,85053,15,10.89%,72.28%,7,98.25%,1.26%,0.376,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",2,1.183,1.175,0,1.275,10,6,50,0.50%
"032648-FMC OLD TOWN SCOTTSDALE",032648,-,"4141 N SCOTTSDALE RD - STE 100",SCOTTSDALE,AZ,85251,15,9.52%,79.13%,9,98.44%,0.00%,0.517,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",9,0.694,0.264,8,0.762,10,6,85,0.00%
"032649 PEDIATRIC DIALYSIS CENTER OF PHOENIX LLC",032649,-,"2545 EAST THOMAS ROAD - SUITE 100",PHOENIX,AZ,85016,15,"No Rate","No Rate","No Score",95.87%,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate",5,"No Score",61,0.00%
"032650 Fresenius Kidney Care Desert Sage",032650,-,"4901 W MCDOWELL ROAD - SUITE 120",PHOENIX,AZ,85035,15,14.79%,71.95%,6,97.38%,1.54%,0.533,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",4,1.007,0.243,6,0.875,10,1,61,0.00%
"032653-Fresenius Kidney Care Westgate Home",032653,-,"6622 N 91ST AVENUE - STE 210",Glendale,AZ,85305,15,3.64%,72.99%,10,89.12%,0.00%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",7,0.822,"No Rate",5,0.929,"No Score","No Score",63,0.00%
"032654-Fresenius Kidney Care Canyon Vista",032654,-,"5555 MESA VERDE DR - SUITE 120","Sierra Vista",AZ,85635,15,0.00%,65.69%,8,100.00%,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"032655-Evergreen Park Dialysis",032655,-,"926 E MC DOWELL RD - SUITE 100",Phoenix,AZ,85006,15,"No Rate","No Rate","No Score",92.06%,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"032656-Fresenius Kidney Care Westgate",032656,-,"6622 N 91ST AVE - SUITE 120",Glendale,AZ,85305,15,"No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate","No Score","No Score","No Score",0.00%
"033503 GILA RIVER DIALYSIS WEST",033503,-,"9721 WEST PECOS RD- RR2, BOX 807",LAVEEN,AZ,85339,15,4.25%,90.37%,10,94.41%,0.00%,1.924,10,73.29%,69.75%,85.54%,61.62%,75.11%,71.04%,6,0.862,0.208,9,0.692,10,3,71,0.00%
"033504 GLENDALE FAMILY HEALTH CENTER - DIALYSIS",033504,-,"5141 W LAMAR RD",GLENDALE,AZ,85301,15,3.08%,75.36%,10,91.80%,1.34%,0,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate",10,7,80,0.00%
"062303 UNIVERSITY OF CO HOSPITAL - HOME DIALYSIS",062303,060024,"12605 E. 16TH AVE",AURORA,CO,80045,15,21.98%,65.38%,3,71.80%,3.25%,"No Rate","No Score","No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",0,1.573,0,7,0.853,10,"No Score",34,1.50%
"062311 THE CHILDRENS HOSPITAL KIDNEY CTR.",062311,063301,"13123 E 16TH AVE #328",AURORA,CO,80045,15,"No Rate","No Rate","No Score",86.69%,"No Rate",0.926,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate","No Score","No Rate","No Rate","No Score","No Rate",9,"No Score",72,0.00%
"062315 Heart of the Rockies Regional Dialysis Center",062315,061322,"1000 RUSH DRIVE",SALIDA,CO,81201,15,5.64%,70.47%,9,99.45%,0.00%,0.977,10,"No Rate","No Rate","No Rate","No Rate","No Rate","No Rate",10,0.241,0.314,9,0.674,10,10,76,0.00%
"062501 ROCKY MOUNTAIN DIALYSIS (FMC)",062501,-,"4600 HALE PKWY STE 120",DENVER,CO,80220,15,15.84%,69.74%,5,95.95%,0.63%,1.329,10,69.90%,50.58%,77.12%,63.97%,53.58%,62.40%,7,0.827,1.02,8,0.736,10,1,52,0.50%
"062505 NORTHERN COLORADO KIDNEY CENTER (FMC)",062505,-,"2107 S. TIMBERLINE RD","FORT COLLINS",CO,80525,15,10.91%,65.89%,6,98.00%,0.00%,0.154,10,55.37%,53.78%,82.13%,53.13%,68.78%,71.45%,3,1.106,1.643,7,0.837,10,6,59,0.00%
"062510 GREELEY DIALYSIS (FMC)",062510,-,"2343 W 27TH ST STE 503",GREELEY,CO,80634,15,9.20%,64.90%,7,98.48%,0.79%,0.164,10,69.23%,52.67%,81.52%,51.59%,47.69%,52.11%,9,0.655,0.586,7,0.859,10,3,69,0.00%
